Nr,Tree name,product_category,Years,Business as usual,Combined effect,Compost,Technical and Market support,,,
1,Albizia gummifera,FuelWood,2057,0.066708736,0.073450567,0.070698645,0.068728464,,,
1,Albizia gummifera,FuelWood,2058,0.066111354,0.072892212,0.070163336,0.067982772,,,
1,Albizia gummifera,FuelWood,2059,0.063942776,0.070774204,0.068084741,0.065698164,,,
1,Albizia gummifera,FuelWood,2060,0.062686957,0.069294881,0.066662331,0.064119633,,,
1,Albizia gummifera,FuelWood,2061,0.066485577,0.073662691,0.070760193,0.067671167,,,
1,Albizia gummifera,FuelWood,2062,0.066924325,0.074269852,0.071305221,0.068059434,,,
1,Albizia gummifera,FuelWood,2063,0.716793137,0.79267951,0.761764357,0.726408423,,,9.923913309
1,Albizia gummifera,FuelWood,2064,0.001644583,0.001871085,0.001818916,0.001746284,,,
1,Albizia gummifera,ConstructionWood,2024,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2025,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2026,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2027,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2028,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2029,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2030,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2031,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2032,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2033,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2034,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2035,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2036,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2037,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2038,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2039,0,0,0,0,,,
1,Albizia gummifera,ConstructionWood,2040,0,0,0,0,,,
